Journ�e du 01/01/2022,,,
Heures,Pr�visionJ-1,Pr�visionJ,Consommation
00:00,51500,54200,54241
00:15,51100,53750,54333
00:30,50700,53300,53176
00:45,49850,52400,51966
01:00,49000,51500,51632
01:15,49200,51850,51944
01:30,49400,52200,51506
01:45,49050,51700,51577
02:00,48700,51200,51155
02:15,47950,50700,51255
02:30,47200,50200,50178
02:45,46350,49350,49354
03:00,45500,48500,48460
03:15,44950,47900,47815
03:30,44400,47300,47239
03:45,43900,46700,46617
04:00,43400,46100,46055
04:15,43150,45700,45805
04:30,42900,45300,45296
04:45,42850,45200,45013
05:00,42800,45100,45124
05:15,42850,45100,45311
05:30,42900,45100,45157
05:45,43000,45150,45170
06:00,43100,45200,45167
06:15,43250,45450,45797
06:30,43400,45700,45690
06:45,43400,45900,45847
07:00,43400,46100,45942
07:15,43500,46250,46346
07:30,43600,46400,46424
07:45,43650,46750,46636
08:00,43700,47100,46919
08:15,43650,47250,46958
08:30,43600,47400,47089
08:45,43600,47350,47298
09:00,43600,47300,47302
09:15,43850,47750,47761
09:30,44100,48200,48035
09:45,44550,48250,48259
10:00,45000,48300,48334
10:15,45450,48600,48704
10:30,45900,48900,48851
10:45,46100,49350,49109
11:00,46300,49800,49311
11:15,46850,49900,49823
11:30,47400,50000,49959
11:45,48350,50700,50039
12:00,49300,51400,50841
12:15,49050,51600,51219
12:30,48800,51800,51653
12:45,49750,52250,52526
13:00,50700,52700,51716
13:15,49350,51500,51108
13:30,48000,50300,50348
13:45,47350,49650,49527
14:00,46700,49000,48959
14:15,46500,48900,48673
14:30,46300,48800,48052
14:45,45450,47900,47350
15:00,44600,47000,46934
15:15,44350,46750,46689
15:30,44100,46500,46518
15:45,43900,46250,46315
16:00,43700,46000,46043
16:15,43750,45950,46215
16:30,43800,45900,46297
16:45,44400,46400,46753
17:00,45000,46900,47252
17:15,46300,48100,48356
17:30,47600,49300,49881
17:45,48600,50150,51292
18:00,49600,51000,52094
18:15,50100,51400,52869
18:30,50600,51800,53438
18:45,51200,52300,54226
19:00,51800,52800,54798
19:15,52100,53000,55153
19:30,52400,53200,54982
19:45,52300,53200,54800
20:00,52200,53200,54373
20:15,52000,53100,54041
20:30,51800,53000,53548
20:45,51250,52550,53032
21:00,50700,52100,52703
21:15,50100,51350,52457
21:30,49500,50600,51772
21:45,49000,49900,51372
22:00,48500,49200,51015
22:15,49150,49850,51237
22:30,49800,50500,52108
22:45,51000,51650,53965
23:00,52200,52800,53748
23:15,52000,52650,53646
23:30,51800,52500,53238
23:45,51950,52300,53533
,,,
,,,
Journ�e du 02/01/2022,,,
Heures,Pr�visionJ-1,Pr�visionJ,Consommation
00:00,52100,52800,52761
00:15,51300,52000,52483
00:30,50500,51200,51179
00:45,49500,50300,49977
01:00,48500,49400,49674
01:15,49050,49750,49840
01:30,49600,50100,49409
01:45,49450,49950,49414
02:00,49300,49800,48917
02:15,48500,49000,49168
02:30,47700,48200,48167
02:45,47000,47400,47425
03:00,46300,46600,46556
03:15,45900,46050,46019
03:30,45500,45500,45486
03:45,45200,45050,45026
04:00,44900,44600,44645
04:15,44800,44450,44538
04:30,44700,44300,44267
04:45,44500,44100,44242
05:00,44300,43900,44232
05:15,44450,44250,44488
05:30,44600,44600,44608
05:45,44850,44650,44593
06:00,45100,44700,44730
06:15,45600,45050,45430
06:30,46100,45400,45438
06:45,46250,45650,45573
07:00,46400,45900,45840
07:15,46800,46150,46332
07:30,47200,46400,46438
07:45,47600,46850,46701
08:00,48000,47300,47301
08:15,48200,47600,47657
08:30,48400,47900,47898
08:45,48750,48350,48111
09:00,49100,48800,48685
09:15,49750,49350,49251
09:30,50400,49900,49899
09:45,50800,50600,50591
10:00,51200,51300,50884
10:15,51450,51700,51578
10:30,51700,52100,51971
10:45,51850,52550,52433
11:00,52000,53000,52847
11:15,52400,53250,53174
11:30,52800,53500,53301
11:45,53550,54550,53724
12:00,54300,55600,54780
12:15,54300,55500,55445
12:30,54300,55400,56070
12:45,55400,56350,56933
13:00,56500,57300,56134
13:15,55150,55750,55191
13:30,53800,54200,54166
13:45,52800,53400,53382
14:00,51800,52600,52621
14:15,51650,52550,52408
14:30,51500,52500,51541
14:45,50800,51350,50722
15:00,50100,50200,50206
15:15,49950,50050,50218
15:30,49800,49900,49853
15:45,49650,49600,49657
16:00,49500,49300,49398
16:15,49550,49400,49470
16:30,49600,49500,49622
16:45,50300,50250,49590
17:00,51000,51000,50407
17:15,52300,52400,51452
17:30,53600,53800,52783
17:45,54650,54900,53819
18:00,55700,56000,55134
18:15,56300,56650,55924
18:30,56900,57300,56694
18:45,57200,57650,57353
19:00,57500,58000,58357
19:15,57350,57900,58330
19:30,57200,57800,58056
19:45,56850,57500,57567
20:00,56500,57200,57028
20:15,55700,56500,56474
20:30,54900,55800,55720
20:45,54350,55300,55447
21:00,53800,54800,54940
21:15,53000,54050,54442
21:30,52200,53300,53738
21:45,51600,52750,53021
22:00,51000,52200,52529
22:15,51600,52600,52723
22:30,52200,53000,53433
22:45,53400,54000,55008
23:00,54600,55000,54438
23:15,54400,55000,54419
23:30,54200,55000,54233
23:45,54200,54600,54456
,,,
,,,
Journ�e du 03/01/2022,,,
Heures,Pr�visionJ-1,Pr�visionJ,Consommation
00:00,54200,53700,53717
00:15,53300,52950,53271
00:30,52400,52200,52153
00:45,51500,51250,50622
01:00,50600,50300,50524
01:15,50850,50600,50549
01:30,51100,50900,50238
01:45,51000,50750,50193
02:00,50900,50600,49843
02:15,50200,49900,50151
02:30,49500,49200,49220
02:45,48750,48600,48612
03:00,48000,48000,47950
03:15,47550,47450,47536
03:30,47100,46900,46912
03:45,46700,46500,46526
04:00,46300,46100,46279
04:15,46550,46250,46507
04:30,46800,46400,46479
04:45,47450,46750,46387
05:00,48100,47100,47024
05:15,48950,47850,48248
05:30,49800,48600,48611
05:45,51050,49600,49473
06:00,52300,50600,50617
06:15,53900,52450,53098
06:30,55500,54300,54091
06:45,57050,55950,55786
07:00,58600,57600,57390
07:15,60100,58700,58691
07:30,61600,59800,59961
07:45,62900,61150,60977
08:00,64200,62500,62072
08:15,64200,62500,62697
08:30,64200,62500,62589
08:45,64200,62950,62880
09:00,64200,63400,63406
09:15,64500,63550,63555
09:30,64800,63700,63735
09:45,64850,63700,63982
10:00,64900,63700,63654
10:15,64950,63650,63650
10:30,65000,63600,63697
10:45,64850,63500,63407
11:00,64700,63400,63411
11:15,64800,63500,63551
11:30,64900,63600,63610
11:45,65100,64150,63710
12:00,65300,64700,64519
12:15,65100,64450,64696
12:30,64900,64200,64557
12:45,65500,64950,65193
13:00,66100,65700,64155
13:15,64950,64450,63843
13:30,63800,63200,63181
